-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     219.386us         0.11%      50.855ms       2.034ms           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.00%       2.180ms         0.11%      50.636ms       2.025ms           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         0.30%     137.828ms         0.30%     138.342ms       6.992us      18.31 Gb      18.31 Gb     193.91 Gb     193.91 Gb         19785  
                                       cudaLaunchKernel        81.88%       37.988s        81.88%       37.988s     959.631us           0 b           0 b           0 b           0 b         39586  
                                             aten::view         0.00%       1.713ms         0.00%       1.713ms       3.433us           0 b           0 b           0 b           0 b           499  
                                           aten::linear         0.00%       1.651ms         1.18%     548.007ms       4.492ms           0 b           0 b       1.75 Gb           0 b           122  
                                               aten::to         0.00%     954.139us         1.04%     482.596ms     662.907us      18.75 Mb           0 b       3.87 Gb           0 b           728  
                                         aten::_to_copy         0.01%       3.906ms         1.04%     481.642ms       1.056ms      18.75 Mb           0 b       3.87 Gb           0 b           456  
                                    aten::empty_strided         0.01%       5.591ms         0.05%      23.455ms      29.879us      18.75 Mb      18.75 Mb       6.50 Gb       6.50 Gb           785  
                                            aten::copy_         0.31%     145.721ms         8.62%        3.997s     201.309us           0 b           0 b           0 b           0 b         19857  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 46.397s
