-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     233.533us         0.29%      61.320ms       2.453ms           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.02%       3.463ms         0.29%      61.086ms       2.443ms           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         0.52%     111.804ms         0.53%     112.490ms       5.684us      18.31 Gb      18.31 Gb     193.91 Gb     193.91 Gb         19789  
                                       cudaLaunchKernel        64.43%       13.722s        64.43%       13.722s     346.615us           0 b           0 b           0 b           0 b         39589  
                                             aten::view         0.01%       1.660ms         0.01%       1.660ms       3.313us           0 b           0 b           0 b           0 b           501  
                                           aten::linear         0.01%       1.705ms         3.24%     690.070ms       5.656ms           0 b           0 b       1.74 Gb           0 b           122  
                                               aten::to         0.01%       1.583ms         1.79%     382.024ms     524.038us      18.75 Mb           0 b       3.88 Gb           0 b           729  
                                         aten::_to_copy         0.02%       4.127ms         1.79%     380.441ms     832.475us      18.75 Mb           0 b       3.88 Gb           0 b           457  
                                    aten::empty_strided         0.02%       5.308ms         0.11%      23.188ms      29.501us      18.75 Mb      18.75 Mb       6.49 Gb       6.49 Gb           786  
                                            aten::copy_         0.59%     124.971ms        15.63%        3.328s     167.609us           0 b           0 b           0 b           0 b         19858  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 21.297s
