-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     130.527us         0.16%      17.753ms     710.116us           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.02%       2.729ms         0.16%      17.622ms     704.895us           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         0.95%     107.567ms         1.01%     113.829ms       5.753us      18.31 Gb      18.31 Gb     191.64 Gb     191.64 Gb         19785  
                                       cudaLaunchKernel        49.13%        5.540s        49.13%        5.540s     139.960us           0 b           0 b           0 b           0 b         39586  
                                             aten::view         0.01%       1.567ms         0.01%       1.567ms       3.141us           0 b           0 b           0 b           0 b           499  
                                           aten::linear         0.01%       1.451ms         1.42%     160.100ms       1.312ms           0 b           0 b       1.74 Gb           0 b           122  
                                               aten::to         0.01%       1.138ms         1.27%     143.177ms     196.672us      18.75 Mb           0 b       2.71 Gb           0 b           728  
                                         aten::_to_copy         0.03%       3.568ms         1.26%     142.039ms     311.488us      18.75 Mb           0 b       2.71 Gb           0 b           456  
                                    aten::empty_strided         0.05%       5.305ms         0.14%      15.511ms      19.759us      18.75 Mb      18.75 Mb       4.59 Gb       4.59 Gb           785  
                                            aten::copy_         0.94%     105.884ms         8.30%     935.834ms      47.129us           0 b           0 b           0 b           0 b         19857  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 11.276s
