-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::layer_norm         0.00%     502.871us         0.27%      28.172ms       1.127ms           0 b           0 b     470.58 Mb           0 b            25  
                                aten::native_layer_norm         0.01%       1.531ms         0.26%      27.669ms       1.107ms           0 b           0 b     470.58 Mb           0 b            25  
                                            aten::empty         0.89%      93.795ms         1.02%     107.672ms       5.441us      18.31 Gb      18.31 Gb     191.27 Gb     191.27 Gb         19789  
                                       cudaLaunchKernel        42.39%        4.473s        42.39%        4.473s     112.988us           0 b           0 b           0 b           0 b         39589  
                                             aten::view         0.01%       1.336ms         0.01%       1.336ms       2.667us           0 b           0 b           0 b           0 b           501  
                                           aten::linear         0.02%       1.687ms         2.10%     221.914ms       1.819ms           0 b           0 b       1.74 Gb           0 b           122  
                                               aten::to         0.01%     663.766us         1.05%     110.790ms     151.975us      18.75 Mb           0 b       2.13 Gb           0 b           729  
                                         aten::_to_copy         0.02%       2.609ms         1.04%     110.126ms     240.977us      18.75 Mb           0 b       2.13 Gb           0 b           457  
                                    aten::empty_strided         0.04%       4.715ms         0.16%      17.114ms      21.774us      18.75 Mb      18.75 Mb       3.62 Gb       3.62 Gb           786  
                                            aten::copy_         0.89%      93.988ms         9.28%     979.546ms      49.328us           0 b           0 b           0 b           0 b         19858  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 10.553s
